Date,Temperature
2023-01-01,22
2023-01-02,25
2023-01-03,19
2023-01-04,21
2023-01-05,24
2023-01-06,20
2023-01-07,18
2023-01-08,23
2023-01-09,27
2023-01-10,29
2023-01-11,30
2023-01-12,17
2023-01-13,26
2023-01-14,22
2023-01-15,21
2023-01-16,24
2023-01-17,19
2023-01-18,25
2023-01-19,20
2023-01-20,23
2023-01-21,28
2023-01-22,26
2023-01-23,29
2023-01-24,18
2023-01-25,21
2023-01-26,22
2023-01-27,25
2023-01-28,27
2023-01-29,19
2023-01-30,24
2023-01-31,20
2023-02-01,23
2023-02-02,22
2023-02-03,25
2023-02-04,29
2023-02-05,18
2023-02-06,21
2023-02-07,24
2023-02-08,25
2023-02-09,17
2023-02-10,23
2023-02-11,22
2023-02-12,26
2023-02-13,20
2023-02-14,27
2023-02-15,29
2023-02-16,19
2023-02-17,21
2023-02-18,24
2023-02-19,30
2023-02-20,25
2023-02-21,28
2023-02-22,22
2023-02-23,19
2023-02-24,23
2023-02-25,21
2023-02-26,24
2023-02-27,29
2023-02-28,20
2023-03-01,25
2023-03-02,27
2023-03-03,19
2023-03-04,22
2023-03-05,24
2023-03-06,28
2023-03-07,20
2023-03-08,23
2023-03-09,21
2023-03-10,26
2023-03-11,22
2023-03-12,25
2023-03-13,29
2023-03-14,18
2023-03-15,22
2023-03-16,24
2023-03-17,27
